Rank,UID,Name,Guard Level,Accompany
1,"644774","乃王木木殿下",1,1065
2,"9316123","乃琳的醒醒",1,614
3,"71271","PassioneRagazza",1,967
4,"142197","拉基DD",1,931
5,"446479","伴你轻舞",1,1189
6,"11140872","Dino赵",1,541
7,"129193","早点火锅店",1,991
8,"41579","o0坂上智代0o",2,823
9,"2070721447","空心未遂的菜",2,1044
10,"85946635","泓゚",2,681
11,"64707","四叠半的迷宫",2,821
12,"2386501","京饱饱",2,601
13,"4273314","火锅味糖炒栗子",2,790
14,"4643883","steamimp",2,1067
15,"579715","峰邑",2,1181
16,"43141191","乃琳殿下的修勾",2,768
17,"81373950","只有乃琳的世界",2,758
18,"9222318","Brucy",2,1130
19,"1729236416","奶淇琳周报",2,438
20,"13223402","超高校级的奶淇琳",2,1096
21,"5104132","MyGO的千早愛音本人",2,1114
22,"2165358","青山猛一-_-",2,732
23,"3856427","五更伪境",2,1064
24,"2661552","太守",2,652
25,"9271343","狗宝是只猫",2,721
26,"37415686","不犯困的狐狸",2,798
27,"94740734","我就是爱玩怎么",2,880
28,"128471","浅醉未醒",2,938
29,"29996264","银幕君",2,779
30,"482835","南條鹿",2,1028
31,"250881","西湖小黄鸡",2,826
32,"16584195","奶芒拌面",2,601
33,"4464996","鹿原白茶",2,1114
34,"286896","无聊哒太阳",2,914
35,"240411840","叁肆略略略",2,504
36,"43223022","琳的N70",2,902
37,"20367172","drzum",2,655
38,"8005861","隐夜月",2,967
39,"158423687","还差少多",2,691
40,"346440182","冰淇琳奶茶",2,772
41,"8442579","千里同風德乃鄰",2,631
42,"16072024","Funct1on",2,874
43,"11703373","_Aki_",2,618
44,"1738394","woui003woui",2,750
45,"3439257","六个六大",2,749
46,"14952842","坏极星",2,784
47,"21590547","路过人间边躺边赞",2,748
48,"1474707","showmybbox",2,760
49,"58300522","嘉然小姐今年考gre",2,1044
50,"44640134","小玖在看乃宝",2,621
51,"25081716","啃啃lin",2,361
52,"1574583944","伤心小熊缺钙",2,1073
53,"294642783","乃王木木的火锅",2,857
54,"354104","胆大清纯战五渣",2,841
55,"6073284","三日游六花",2,571
56,"226368","你的戒指都没有聚焦",2,823
57,"721965","初＂惗",2,1159
58,"19865295","北极星也喜欢看云",2,879
59,"19446776","Leon1s_",2,571
60,"4413951","星云沙漏",2,961
61,"231171491","等等1586",2,607
62,"38672171","辣条给你吃吖",2,1026
63,"37492884","_青山不改_",2,721
64,"394344","达达夏尔",2,1246
65,"241805541","Lin若北",2,778
66,"15279600","晚桜demo",2,722
67,"66723979","来颗憨八嘎",2,466
68,"33786133","树屋里的困困锅",2,998
69,"2107214","霍泳延",2,394
70,"5127152","小近_xiaojin",2,999
71,"1717594","凯撒大帝z",2,1105
72,"417354","陆凌",2,661
73,"87937216","困困狐不困",2,481
74,"87680611","不知-233",2,634
75,"35000969","_软妹小乃琳_",2,1085
76,"15347555","枝江娱乐的教父",2,632
77,"8296375","-pp--",2,688
78,"12146898","夢长与天地",2,1228
79,"132825","类菌体",2,746
80,"50043628","完能超能咕",2,689
81,"4876652","席见",2,694
82,"270474427","jjsppy",2,548
83,"92810304","追逐流浪的云",2,1181
84,"12756274","不熟练的炼金术士",2,419
85,"30570","肉丸丸粑粑",2,1003
86,"24839220","正直面瘫熊",2,839
87,"58458687","emmm__NO",2,665
88,"3457313","あやねるのパンツ",2,868
89,"132097538","王木木不困了",2,619
90,"437420580","放学请找夏月",2,835
91,"6221730","乃琳琳困不困",2,724
92,"330624","小蜜蜂超人",2,1057
93,"3279236","消逝的過去",2,368
94,"31524951","呼噜噜的nil",2,511
95,"257217324","萝卜______",2,671
96,"293817176","ByeBye-Edward",2,481
97,"434787505","四尺圣堂",2,931
98,"7101277","只想做你的太阳l",2,484
99,"6308591","WAQSEDx",2,706
100,"80145","笔头睡沙发",2,900
101,"490872815","W_T_T_W",2,513
102,"58959","小松あすか",2,421
103,"36577686","该死的肥美",2,811
104,"110478674","星子湾",2,616
105,"20332158","我给醒醒打个样",2,499
106,"3423219","思诺的手持麦",2,569
107,"9212816","我就是第二帅的龙儿",2,518
108,"307987","今天吃屁桃",2,753
109,"11409734","chiikawa频主",2,511
110,"32202897","琴吹紬柚柚",2,451
111,"284123","陆九Kari",2,748
112,"7322869","銀河速食",2,632
113,"62977316","乃琳的醒木",2,422
114,"14637173","春风词客",2,488
115,"3923454","Pilemon",2,538
116,"486595","煌坂纱矢华",2,803
117,"2034479","_Amarillo",2,572
118,"773090","ExiaMC",2,880
119,"12114921","默笙不是陌生",2,661
120,"751838","你拉链好像开了",2,468
121,"391828","千溪先森",2,916
122,"12015901","-樹樹樹-",2,508
123,"15706316","睡眠时常不足",2,422
124,"11382142","柴门耳",2,271
125,"8404444","睡覺熱戀期",2,631
126,"9170507","叮当当咚咚当当葫芦娃",2,301
127,"9133033","两仪舞月",2,621
128,"884963","Kaede乙醇",2,816
129,"468522","谁推我风车",2,541
130,"15260550","皮卡皮卡葱",2,660
131,"172466430","yi__泽",2,654
132,"25604940","Cyndi王心凌",2,518
133,"38721841","就叫核桃罢了",2,731
134,"2112688","蓝白灬格子",2,421
135,"2905623","Zero_Ikuta",2,835
136,"91154113","正宗椰汁椰树",2,333
137,"20831730","唯一真神刀削面",2,423
138,"17009858","大腿别着凉了捏",2,572
139,"13978776","是一只青菜",2,728
140,"335800","霜月花还是果丹皮",2,961
141,"1433558","水果阿卡林G",2,507
142,"8192040","貝極星kira717",2,211
143,"5028531","言Lao身Shi寸",2,511
144,"4662670","Evangelion-02ASK",2,777
145,"14051038","苦力怕的小世界",2,421
146,"633060","猫萌罒亻",2,780
147,"14274834","Le124",2,348
148,"345646497","Ka_Sayuki",2,331
149,"1394306899","爱乃琳实在是太好了",2,468
150,"44782404","Gasywxi",2,121
151,"27544208","神秘少年_",2,606
152,"80632694","白幽-",2,633
153,"85830204","追求乃琳貝拉婉拒",2,595
154,"2725252","昵称被人抢先用",2,331
155,"27628196","小浣熊困告中",2,499
156,"61635","C137阿八",2,361
157,"3829158","黒川海今天吃Kira",2,271
158,"6175176","风丶羽",2,484
159,"2490","一字抹",2,686
160,"10721325","述莫",2,587
161,"13501564","TuO_ong",2,664
162,"38931903","胖胖胖胖胖太",2,467
163,"176942890","盗梦__",2,391
164,"176415823","倾萧笙",2,655
165,"14511074","冬月枫花恋",2,391
166,"25219141","Invisibleboy",2,458
167,"180802663","章鱼鱼鱼鱼鱼鱼鱼鱼yu",2,455
168,"58665389","南山二愣子",2,1048
169,"1487909","生命就是如此无法安宁",2,237
170,"177522","朱雀之南明离火",2,181
171,"34414290","椰壳椰椰椰",2,362
172,"7909367","困困到处睡觉zZ",2,574
173,"4334224","柒夜沐雨",2,906
174,"8160539","王木木的九亿分之一",2,303
175,"22943210","晨曦与极光",2,530
176,"14897254","ZGenimi",2,391
177,"168188234","你看我有动感光波",2,508
178,"1848563","剑斗show",2,391
179,"771736","祈一",2,590
180,"2006683","涡轮温斯顿",2,522
181,"275348078","大黑砖",2,301
182,"80441783","HRJayce",2,488
183,"92276857","夏末淡秋",2,421
184,"36456969","枝江reader乃王木木困",2,463
185,"3461576508049942","被夏天吻过的男人",2,631
186,"32787117","我是小小AFC",2,271
187,"401181422","地瓜最强",2,331
188,"326753906","蛤药集团吃枣药丸233",2,331
189,"1369021","zanies",2,331
190,"299828109","゚困困教主",2,905
191,"32500634","嘉然今天学物理",2,181
192,"400847","招财进宝黑猫猫",2,301
193,"171625174","nanimonai柒",2,398
194,"11498851","Arianhod-加里奥",2,880
195,"5875787","咸鱼的屋檐",2,501
196,"33014440","来来来来来来来来来了",2,349
197,"185032","IM无数山",2,271
198,"12852961","白夜242",2,392
199,"38464753","六六獭栗",2,368
200,"26026452","なるなる单推人",2,241
201,"12431842","物极必反非极必欧",2,482
202,"20932","rlim",2,845
203,"32691687","Meow22",2,241
204,"395330","小小青蛙不输风雨丶",2,430
205,"98867453","xcxksmf",2,395
206,"435741852","乃琳一点也不困",2,211
207,"701784592","醒木困了-",2,368
208,"5231440","我还是好想过六一啊",2,398
209,"21539690","亚洲善待蜗牛组织",2,211
210,"85566549","往哪里啦往北啦",2,368
211,"16506261","blame_7m",2,335
212,"3899299","vighj",2,346
213,"3493118385064478","枝江听床师",2,121
214,"8178163","三月March哈",2,346
215,"297554792","yscnrk",2,348
216,"3042474","左转不通行的话就蹲下",2,481
217,"550546","王醒木仔",2,121
218,"11520639","偷偷喜欢琳",2,121
219,"6679207","辣锅涮萝卜",2,333
220,"2810632","住在海里的云鬼",2,91
221,"1452971376","我的白毛狐变成猪了",2,481
222,"32200881","Moonelf",2,121
223,"262797349","乃琳官方指定唯一女友",2,451
224,"1144556307","thisxhp",2,91
225,"33588154","小陈天天都要开心",2,288
226,"3546592973949698","乃琳的小完能",2,208
227,"8180612","Ming----",2,289
228,"18403377","satet",2,91
229,"361138389","-Zechariah",2,91
230,"65999631","不灵不龙",2,91
231,"343442425","小琳的呀哈哈",2,91
232,"405525","Belalabella",2,280
233,"19969603","闲逛的老孩",2,687
234,"34809158","文盲の野犬",2,483
235,"102598114","向晚是我爹",2,673
236,"8183854","ＧＵＴＳ",2,480
237,"23138681","MiXiO",2,61
238,"45092620","YHTim",2,455
239,"5911146","夏沫-T",2,570
240,"88164206","愿天堂一包5橙",2,650
241,"73530959","-玲珑骰子安红豆_",2,31
242,"11901570","乌木勇士被我杀",2,606
243,"481711234","困困醒醒啊",2,31
244,"5491249","JFRG",2,540
245,"6397529","乃羊-洋",2,424
246,"279235921","我不想想名字了k",2,617
247,"22049907","琳听者",2,226
248,"10956339","TkaraJ",2,331
249,"8058943","大神orz",2,630
250,"4616225","冻结流星",2,391
251,"3853484","囍拉乃-迷梦海",2,393
252,"16602108","123123biubiu",2,331
253,"17395380","商云缙",2,361
254,"2907454","哈喽小狐琳",2,517
255,"14189346","啊娇jiao",2,241
