Rank,UID,Name,Guard Level,Accompany
1,"2045019709","贝极星猫",1,553
2,"1358029","晃悠悠工作室星狮",1,788
3,"153973","遗忘乐园",1,1305
4,"41579","o0坂上智代0o",1,787
5,"469876","君の名は",1,634
6,"405525","Belalabella",1,1031
7,"2720417","uiiysss",1,587
8,"87248143","彐月月",2,822
9,"479464","幼安kira",2,1240
10,"1858597149","bili_1858597149",2,633
11,"17407612","微光为你闪烁的星",2,583
12,"4801462","遇雨迷樱",2,936
13,"14952842","坏极星",2,1107
14,"21590547","路过人间边躺边赞",2,772
15,"21880142","阿道克船长_AS",2,749
16,"128883830","焦无意",2,1031
17,"158423687","还差少多",2,1100
18,"488740748","七夜の祈願星",2,853
19,"446479","伴你轻舞",2,1202
20,"35090585","松下柴柴子",2,950
21,"4452193","贝拉开心我开心",2,539
22,"2114847153","贝极星周报",2,511
23,"702371702","真的没肉",2,560
24,"128471","浅醉未醒",2,931
25,"3760577","树袋熊抱抱症",2,795
26,"10438608","shalib",2,770
27,"36328236","不穿裤衩的超人i",2,181
28,"35586962","南方普洱茶",2,783
29,"1846929694","李走走走",2,624
30,"2661552","太守",2,941
31,"22219096","只留下花Q就走狸",2,548
32,"1476078","奶味酷盖贝拉拉",2,991
33,"22650744","绛紫紫紫梓紫",2,514
34,"414703216","LorneMarvo",2,518
35,"9222318","Brucy",2,1002
36,"5847764","-乐俊-",2,961
37,"250881","西湖小黄鸡",2,808
38,"1968925","笨极星の野望",2,828
39,"66810734","orimmn",2,391
40,"2220845","饿死划不来",2,751
41,"16092089","-KiraStar-",2,785
42,"16506261","blame_7m",2,611
43,"286896","无聊哒太阳",2,723
44,"1556020","伽蓝如何前零番地",2,711
45,"3552118","Bee0000_",2,756
46,"272097964","FujinoMitsuki",2,687
47,"87346530","捏兔兔脸颊肉",2,711
48,"6840143","BK0717-Alex",2,761
49,"7771666","bk0717-路口北上",2,794
50,"64707","四叠半的迷宫",2,608
51,"2505247","法尔希奥方",2,542
52,"8063266","走开到花边",2,1132
53,"38931903","胖胖胖胖胖太",2,608
54,"297554792","yscnrk",2,428
55,"100627984","贝拉迷ag",2,761
56,"38115706","多用途烤萝卜机",2,790
57,"2490","一字抹",2,680
58,"1471181137","伊麗克絲",2,343
59,"19865295","北极星也喜欢看云",2,871
60,"14812049","北落师门vk",2,642
61,"21604099","Hayashiiyk",2,541
62,"11409734","chiikawa频主",2,606
63,"71904271","最甜甜甜的杨桃干",2,881
64,"142197","拉基DD",2,816
65,"80145","笔头睡沙发",2,1117
66,"491521","theBunnyEffect",2,911
67,"127130","张嘉旻",2,693
68,"132825","类菌体",2,734
69,"587461173","KiraKira拉拉拉",2,720
70,"106599037","BK0717-秋月行云",2,729
71,"226368","我的偶像王嘉然",2,757
72,"32201637","馄饨型贝极星",2,880
73,"293817176","ByeBye-Edward",2,661
74,"35968103","酷盖小贝拉",2,851
75,"272770752","Raidengo",2,373
76,"43830807","硬核混沌恶",2,282
77,"2036582","摆烂果实能力者",2,631
78,"9357656","并行时",2,647
79,"32432972","总迟睡的小尹子",2,541
80,"15279600","晚桜demo",2,687
81,"395330","小小青蛙不输风雨丶",2,574
82,"11401597","贝拉兔研究员",2,583
83,"521727","GO星豆角",2,632
84,"13990158","名字真难起TAT",2,764
85,"35446662","卡面来打贝拉拉",2,783
86,"8192040","貝極星kira717",2,439
87,"773090","ExiaMC",2,876
88,"178408348","南山白水",2,745
89,"293041","东大毕业奥尔菲",2,1270
90,"2262789","柯一只QAQ",2,471
91,"58458687","emmm__NO",2,729
92,"50916761","沉洛默",2,211
93,"12146898","夢长与天地",2,1137
94,"13418583","BK-0717熊猫你妹",2,811
95,"6007371","伊布叔叔",2,421
96,"308808714","我起名废有点",2,611
97,"260082988","be--la",2,761
98,"7696604","一排鸭子",2,657
99,"39493846","胜利主义贝极星",2,652
100,"2551282","拍拍兔屯",2,393
101,"30570","肉丸丸粑粑",2,979
102,"489319419","贝盟主的小狐狸",2,331
103,"46659524","四斤六两大草鱼",2,642
104,"6826620","郑阿瞒",2,806
105,"5426695","每顿两斤饭",2,490
106,"296560","卡纳咔呐呆",2,1045
107,"34315563","清御茶曜",2,583
108,"3492583","_就山",2,534
109,"15347555","枝江娱乐的教父",2,596
110,"626509","淡淡的的忧s",2,472
111,"32547659","夏夏又晓晓BK0717",2,365
112,"19136372","MoonlightStarts",2,994
113,"388648751","在下是妙蛙种子啦",2,850
114,"2867175","枝江花椒原产种植基地",2,541
115,"2058022417","含糖量百分之56",2,391
116,"257217324","萝卜______",2,635
117,"5127152","小近_xiaojin",2,747
118,"7537547","BK0717-星萝",2,421
119,"15260550","皮卡皮卡葱",2,655
120,"35595921","卡布叻_tiino",2,733
121,"37871782","ZachariahWar",2,746
122,"328907438","夏夜林间",2,793
123,"11358875","故里序",2,570
124,"10827169","丿maki丶",2,362
125,"470668673","其实很远方",2,656
126,"394344","达达夏尔",2,453
127,"85830204","追求乃琳貝拉婉拒",2,585
128,"1590163","油炸甜面酱",2,306
129,"2020446","糖_sweet宝",2,391
130,"8320253","霜之哀伤冰雪寒",2,391
131,"3852391","贫僧法号空气",2,766
132,"23701081","贝极星好好吃饭",2,605
133,"4662670","Evangelion-02ASK",2,741
134,"1433558","水果阿卡林G",2,291
135,"32500634","嘉然今天学物理",2,211
136,"15267643","左手一只鸡QAQ",2,661
137,"13223402","超高校级的奶淇琳",2,542
138,"5391921","夏诘诘",2,1021
139,"26114356","山丘丘丘qiu",2,571
140,"61635","C137阿八",2,453
141,"44640134","小玖在看乃宝",2,495
142,"436132","阿云bc",2,537
143,"9838539","Faded-bellairs",2,601
144,"4859682","扑棱棱的长耳鸮",2,542
145,"15568183","砸核桃的核桃",2,633
146,"193505221","Mystery-BK0717",2,601
147,"13649274","我的朋友是Habu巨人",2,421
148,"19262721","千雪落0花见默",2,545
149,"29929453","蜜柑重击",2,813
150,"468522","谁推我风车",2,542
151,"484882209","谢谢你抱歉对不起",2,612
152,"11491999","指甲油M21",2,561
153,"884963","Kaede乙醇",2,581
154,"95265544","小肥飞肥",2,604
155,"100035374","_小莓莓_",2,481
156,"7861980","某某柠檬酸菜鱼",2,181
157,"417354","陆凌",2,431
158,"28263476","没错就是绘海",2,482
159,"2725252","昵称被人抢先用",2,425
160,"20932","rlim",2,841
161,"65232881","Angelo佩佩",2,541
162,"7192234","贝拉博士的杨桃",2,463
163,"23981178","蓝色的小星贝",2,481
164,"20224357","仁money",2,511
165,"2006683","涡轮温斯顿",2,486
166,"20110246","是贝拉老婆",2,421
167,"31628971","狗乜呐嗮",2,151
168,"71271","PassioneRagazza",2,241
169,"4443406","乙醇丶",2,121
170,"42443498","树懒炒饭",2,450
171,"12852961","白夜242",2,386
172,"18147443","拯救多巴胺",2,453
173,"26550637","知不可乎",2,451
174,"12687348","贝柆kira",2,452
175,"33786133","树屋里的困困锅",2,422
176,"26257645","StayGoldStayKira",2,393
177,"8780848","旺的Four",2,368
178,"14051038","苦力怕的小世界",2,391
179,"34414290","椰壳椰椰椰",2,361
180,"85566549","往哪里啦往北啦",2,362
181,"25219141","Invisibleboy",2,361
182,"782987","羽刃丶Vision",2,391
183,"3829158","黒川海今天吃Kira",2,301
184,"18272436","月夜の向日葵",2,272
185,"284123","陆九Kari",2,693
186,"2112688","蓝白灬格子",2,371
187,"13559551","Violet-BK0717",2,363
188,"275348078","大黑砖",2,285
189,"544640514","玩水二号机",2,362
190,"38464753","六六獭栗",2,332
191,"269021694","楊桃干了",2,338
192,"326753906","蛤药集团吃枣药丸233",2,361
193,"14897254","ZGenimi",2,361
194,"5875787","咸鱼的屋檐",2,354
195,"1369021","zanies",2,361
196,"2217196","门牌号10",2,331
197,"164052840","晚滇177",2,401
198,"564638","johann-X",2,622
199,"6679207","辣锅涮萝卜",2,297
200,"19969603","闲逛的老孩",2,661
201,"683658","电磁法师Yis",2,241
202,"1922409004","estrellaof1437",2,428
203,"32787117","我是小小AFC",2,241
204,"3899299","vighj",2,248
205,"14274834","Le124",2,242
206,"12729779","努力学习警",2,271
207,"330624","小蜜蜂超人",2,241
208,"32691687","Meow22",2,241
209,"19496009","莱卡勒斯",2,582
210,"102598114","向晚是我爹",2,594
